"Day","Property","Player Name","Ad Impressions","Publisher Demand Revenue"
"04-DEC-2023","commandcooking.com","Command Cooking - Mobile",5358,11.69
"04-DEC-2023","commandcooking.com","Commandcooking_Control",2552,6.21
"04-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",42,0.11
"05-DEC-2023","commandcooking.com","Command Cooking - Mobile",5134,12.77
"05-DEC-2023","commandcooking.com","Commandcooking_Control",2042,5.63
"05-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",48,0.07
"06-DEC-2023","commandcooking.com","Command Cooking - Mobile",4047,8.25
"06-DEC-2023","commandcooking.com","Commandcooking_Control",1937,4.51
"06-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",66,0.08
"07-DEC-2023","commandcooking.com","Command Cooking - Mobile",5343,12.49
"07-DEC-2023","commandcooking.com","Commandcooking_Control",2027,5.83
"07-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",57,0.10
"08-DEC-2023","commandcooking.com","Command Cooking - Mobile",5263,11.97
"08-DEC-2023","commandcooking.com","Commandcooking_Control",1801,5.75
"08-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",22,0.04
"09-DEC-2023","commandcooking.com","Command Cooking - Mobile",6034,12.35
"09-DEC-2023","commandcooking.com","Commandcooking_Control",2510,6.85
"09-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",13,0.03
"10-DEC-2023","commandcooking.com","Command Cooking - Mobile",5385,11.74
"10-DEC-2023","commandcooking.com","Commandcooking_Control",2492,6.18
"10-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",17,0.14
"11-DEC-2023","commandcooking.com","Command Cooking - Mobile",3643,8.83
"11-DEC-2023","commandcooking.com","Commandcooking_Control",1595,5.04
"11-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",27,0.04
"12-DEC-2023","commandcooking.com","Command Cooking - Mobile",1897,6.32
"12-DEC-2023","commandcooking.com","Commandcooking_Control",1461,3.89
"12-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",22,0.05
"12-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",752,2.74
"13-DEC-2023","commandcooking.com","Command Cooking - Mobile",6495,18.00
"13-DEC-2023","commandcooking.com","Commandcooking_Control",1703,4.92
"13-DEC-2023","www.golaurens.com","Golaurens.com_In-feed_Elements_D/M",39,0.10
"13-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",714,2.39
"14-DEC-2023","commandcooking.com","Command Cooking - Mobile",6398,15.53
"14-DEC-2023","commandcooking.com","Commandcooking_Control",2311,5.89
"14-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",866,2.11
"15-DEC-2023","commandcooking.com","Command Cooking - Mobile",7539,17.06
"15-DEC-2023","commandcooking.com","Commandcooking_Control",2549,6.31
"15-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",502,1.38
"16-DEC-2023","commandcooking.com","Command Cooking - Mobile",10160,20.54
"16-DEC-2023","commandcooking.com","Commandcooking_Control",2428,6.27
"16-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",436,1.21
"17-DEC-2023","commandcooking.com","Command Cooking - Mobile",8379,17.81
"17-DEC-2023","commandcooking.com","Commandcooking_Control",2444,5.70
"17-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",580,1.69
"18-DEC-2023","commandcooking.com","Command Cooking - Mobile",8618,18.57
"18-DEC-2023","commandcooking.com","Commandcooking_Control",2441,6.14
"18-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",724,2.29
"19-DEC-2023","commandcooking.com","Command Cooking - Mobile",6782,14.55
"19-DEC-2023","commandcooking.com","Commandcooking_Control",2387,5.74
"19-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",650,2.17
"20-DEC-2023","commandcooking.com","Command Cooking - Mobile",5361,14.48
"20-DEC-2023","commandcooking.com","Commandcooking_Control",1973,6.98
"20-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",717,2.84
"21-DEC-2023","commandcooking.com","Command Cooking - Mobile",8287,21.19
"21-DEC-2023","commandcooking.com","Commandcooking_Control",2640,8.83
"21-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",441,2.22
"22-DEC-2023","commandcooking.com","Command Cooking - Mobile",7878,22.01
"22-DEC-2023","commandcooking.com","Commandcooking_Control",1605,7.74
"22-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",116,1.28
"23-DEC-2023","commandcooking.com","Command Cooking - Mobile",7105,19.48
"23-DEC-2023","commandcooking.com","Commandcooking_Control",1908,7.02
"23-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",388,2.32
"24-DEC-2023","commandcooking.com","Command Cooking - Mobile",6090,14.72
"24-DEC-2023","commandcooking.com","Commandcooking_Control",1963,5.79
