,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
8046,20230428,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_EOA_CP",970x250,0,0.0
7397,20230428,Web,mapsofworld.com,1152375/ATD_MOW/ATD_320x50_Desktop-Footer,320x50,269,0.62
7395,20230428,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_160x600_AXT",160x600,1200,0.99
7381,20230428,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_BTM_JP",300x100,0,0.0
2268,20230428,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_970x250_AXT",970x250,1,0.0
2273,20230428,Web,thenewsminute.com,175265624/ATD_TNM/640x300_S2S_Intentt,640x300,0,0.0
7344,20230428,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR3_TAG",320x100,0,0.0
7343,20230428,Web,schoology.com,unknown,other,0,0.0
2278,20230428,Web,glamourpath.com,"21804848220,22445109981/ATD_Glamourpath/ATD_300x600_Sidebar_AP",300x600,0,0.0
7328,20230428,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_EOA_TAG",336x280,0,0.0
7327,20230428,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR1_CP",728x90,0,0.0
7326,20230428,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR1_HP",300x250,0,0.0
2284,20230428,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_INR1_HP",300x50,0,0.0
2285,20230428,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_160x600_RHS_CP",160x600,10,0.03
7325,20230428,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_TAG",160x600,0,0.0
2287,20230428,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_MH_TAG",970x90,0,0.0
2288,20230428,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_TAG",320x50,0,0.0
7323,20230428,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_HP",320x50,0,0.0
7322,20230428,Web,mapsofindia.com,/5535731/hindi-My-india-300-bottom-right,300x250,0,0.0
