Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-03-13,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_INR,300x250,"3,499",3.59
2023-03-13,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x600_INTERSCROLLER,300x250,"1,095",0.73
2023-03-04,Web,nakkheeran.in,21713359017/ATD_Nakkheeran/ATD_320x50_GENERAL,320x50,147,0.06
2023-03-30,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_320x50_STICKY_FOOTER,375x50,356,0.11
2023-03-30,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_APP,336x280,244,0.12
2023-03-07,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_Mobile_Homepage_INREAD,300x250,205,0.26
2023-03-07,Web,theprint.in,21801000562/ATD_ThePrint/ATD_MULTISIZE_Footer_HP_M,320x50,34,0.01
2023-03-07,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x250_Combo,300x250,730,0.57
2023-03-07,Web,theprint.in,21801000562/ATD_ThePrint/ATD_728x90_Desktop_HP_Top,728x90,437,0.54
2023-03-08,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x250_Combo,300x250,672,0.46
2023-03-08,Web,theprint.in,21801000562/ATD_ThePrint/ATD_728x90_Desktop_HP_Top,728x90,456,0.41
2023-03-20,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_INR4_AP,336x280,559,0.29
2023-03-20,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INR3_AMP,300x250,"3,107",2.31
2023-03-20,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_Mobile_AP_INR,300x250,736,0.66
2023-03-20,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x600_INTERSCROLLER,300x600,"3,721",1.45
2023-03-20,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR3,300x250,"1,718",1.03
2023-03-20,Web,thewire.in,22631205490/ATD_TheWire/ATD_320x50_AXT,320x50,"2,159",1.29
2023-03-07,AMP,nakkheeran.in,/21713359017/NK_AMP_Display_AP_MLB_HDR,320x100,86,0.03
2023-03-08,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_M_HP_INR1,300x250,198,0.18
2023-03-27,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR1,300x250,"2,717",1.62
2023-03-27,Web,keralakaumudi.com,175265624/300x250_KK_PT,300x250,"2,110",1.61
2023-03-27,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x600_Interscroller,300x250,"1,613",0.63
2023-03-30,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_728x90_TOP_D_HP,970x90,62,0.06
2023-03-19,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x600_AXT,300x600,63,0.02
2023-03-13,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x600_Interscroller,336x280,128,0.04
2023-03-14,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_APP,336x280,43,0.04
2023-03-07,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_AP_INR2_FC_M,300x600,59,0.03
2023-03-01,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x600_FC,300x600,168,0.11
2023-03-20,Web,nakkheeran.in,21713359017/nk_desktop_ap_display_mr_p3,300x250,7,0.01
2023-03-09,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INR2_AMP,300x600,"1,315",0.97
2023-03-20,Web,chartink.com,21824144874/ATD_Chartink/ATD_728x90_AXT,728x90,10,0.00
2023-03-28,Web,chartink.com,21824144874/ATD_Chartink/ATD_728x90_FOOTER,728x90,923,0.85
2023-03-28,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR4,336x280,378,0.18
2023-03-28,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_AP_ATF,300x250,474,0.59
2023-03-04,Web,chartink.com,21824144874/ATD_Chartink/ATD_728x90_HP,728x90,219,0.08
2023-03-02,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_AP_INR1_M,300x250,676,0.44
2023-03-02,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_HPP,300x250,211,0.18
2023-03-04,Web,nakkheeran.in,21713359017/nk_mobile_ap_display_mr_p1,300x250,57,0.03
2023-03-31,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_970x250_GENERAL,970x250,542,0.40
2023-03-07,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_M_AP_INR1,300x250,10,0.01
2023-03-14,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_320x100_GENERAL,320x100,319,0.15
2023-03-28,Web,chartink.com,21824144874/ATD_Chartink/ATD_160x600_RHS,160x600,480,0.27
