Date,Earnings
2023-03-23,562.48
2023-03-10,522.57
2023-03-11,632.83
2023-03-27,634.63
2023-03-15,534.16
2023-03-18,527.94
2023-03-17,518.70
2023-03-08,490.40
2023-03-07,493.51
2023-03-16,498.58
2023-03-13,577.38
2023-03-22,611.40
2023-03-19,605.18
2023-03-24,595.15
2023-03-03,502.54
2023-03-06,533.01
2023-03-28,557.88
2023-03-09,517.23
2023-03-02,470.11
2023-03-31,545.60
2023-03-21,613.83
2023-03-04,530.38
2023-03-14,535.01
2023-03-01,479.61
2023-03-05,560.84
2023-03-29,580.03
2023-03-12,595.92
2023-03-30,660.59
2023-03-20,594.50
2023-03-26,570.93
2023-03-25,645.06
