Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-03-20,AMP,prajavani.net,/1013527/pv_amp_display_hp_mr_p6,300x250,"3,277",0.14
2023-03-20,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_728x90_AXT",728x90,"3,023",8.41
2023-03-20,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_SP_Health_AD2,300x250,65,0.01
2023-03-06,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_MID_300x250,200x200,"1,488",0.27
2023-03-06,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_160x600_AXT",160x600,"4,441",6.08
2023-03-06,Web,deccanherald.com,1013527/ATD_dch/ATD_970x250_GENERAL,970x90,271,0.16
2023-03-06,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x250_GENERAL,300x250,268,0.30
2023-03-06,Web,thenewsminute.com,28110228/ATD_newsm/ATD_728x90_SP_Health_AD3,728x90,103,0.02
2023-03-06,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_320x50_footer_D",320x50,"2,055",1.50
2023-03-30,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_MID_300x250,300x250,"2,686",0.40
2023-03-11,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR2_RP",300x600,620,7.19
2023-03-11,AMP,deccanherald.com,/1013527/dh_amp_business_ap_mr_p1,300x250,"1,227",0.67
2023-03-30,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_320x50_FWA",320x50,128,0.15
2023-03-30,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_INR2_RP",300x250,649,3.13
2023-03-30,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_MID_300x250,336x280,648,0.07
2023-03-02,AMP,deccanherald.com,/1013527/dh_amp_display_mlb_ftr,320x50,"2,15,175",22.95
2023-03-02,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_320x50_FWA",320x50,134,0.24
2023-03-02,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_300x250_INR1_M",336x280,363,0.21
2023-03-02,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_MID_300x250,300x100,"2,838",0.51
2023-03-02,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_BMP_RP",336x280,396,0.85
2023-03-20,Web,mapsofworld.com,1152375/ATD_MOW/ATD_728x90_Header,728x90,208,0.12
2023-03-20,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x250_ATF_AP",336x280,14,0.00
2023-03-20,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_MID_300x250,336x280,"2,203",0.17
2023-03-20,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_INR3_RP",300x250,75,0.68
2023-03-20,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_INR2_RP",336x280,114,0.63
2023-03-30,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR3_RP",300x250,91,0.80
2023-03-30,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_970x250_Top",970x250,8,0.00
2023-03-30,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S4_P4,300x250,49,0.02
2023-03-11,Web,mapsofworld.com,1152375/ATD_MOW/ATD_320x50_Desktop-Footer,320x50,95,0.29
2023-03-11,Web,prajavani.net,1013527/ATD_Prajavani/ATD_300x250_GENERAL,336x280,435,0.23
2023-03-11,AMP,mapsofworld.com,/1152375/ATD_MOW_AMP/ATD_300x250_AMP_MPU_4,300x250,69,0.07
2023-03-20,AMP,mapsofworld.com,/1152375/ATD_MOW_AMP/ATD_320x100_AMP_FOOTER,300x100,175,0.08
2023-03-25,AMP,prajavani.net,/1013527/pv_amp_display_hp_mr_p2,300x250,"4,756",0.31
2023-03-30,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_BMP_RP",336x280,167,1.08
2023-03-30,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_BTF5_300x250,336x280,17,0.00
2023-03-05,AMP,bollywoodhungama.com,"/21804848220,23843038/ATD_BH_AMP/ATD_320x50_Footer",320x50,"13,930",4.53
2023-03-05,AMP,prajavani.net,/1013527/PV_AMP_Display_MR_HDR,300x250,"76,482",7.14
2023-03-05,Web,thenewsminute.com,28110228/ATD_newsm/300x250_AXT,300x250,347,0.07
2023-03-05,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S1_P5,300x250,"1,456",0.76
2023-03-05,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x600_NewScroller,300x600,"7,481",0.74
2023-03-05,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_ATF_300x250,336x280,"3,140",0.14
2023-03-05,AMP,prajavani.net,/1013527/pv_amp_display_sp_mlb_hdr,320x50,"2,797",0.23
2023-03-05,Web,deccanherald.com,1013527/ATD_dch/ATD_970x90_GENERAL,728x90,"1,411",1.18
2023-03-05,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_320x50_FWA",320x50,591,0.70
2023-03-02,AMP,prajavani.net,/1013527/pv_amp_display_sp_mr_p1,300x250,798,0.05
2023-03-02,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_RP",300x600,184,1.61
2023-03-02,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_BMP_M_HP",300x600,4,0.08
