"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"01-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",6,0.00,0.00,0.50
"01-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,3.24
"01-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5,0.01,0.00,2.45
"01-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",3,0.00,0.00,0.58
"02-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",5,0.01,0.00,1.95
"02-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",23,0.02,0.00,0.80
"02-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",8,0.00,0.00,0.47
"03-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",4,0.00,0.00,0.50
"03-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",2,0.01,0.00,2.86
"03-DEC-2023","commandcooking.com","Rise Line Item",1,0.00,0.00,4.26
"03-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",40,0.03,0.00,0.71
"03-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.01,0.00,13.25
"04-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",7,0.00,0.00,0.50
"04-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",2,0.00,0.00,2.50
"04-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2,0.00,0.00,1.88
"04-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",4,0.00,0.00,0.81
"04-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",3,0.00,0.00,0.50
"05-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",11,0.01,0.00,0.50
"05-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,3.07
"05-DEC-2023","commandcooking.com","OpenX - CC - Line Item",1,0.01,0.00,8.07
"05-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5,0.01,0.00,1.80
"05-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",4,0.00,0.00,0.25
"06-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",36,0.02,0.00,0.50
"06-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",8,0.01,0.00,1.67
"06-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",11,0.02,0.00,1.48
"07-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",27,0.01,0.00,0.50
"07-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,1.32
"07-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",11,0.01,0.00,0.75
