"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"01-DEC-2023","commandcooking.com","Conversant - CC - Line item",691,2.65,0.00,3.84
"01-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",44429,22.21,0.00,0.50
"01-DEC-2023","commandcooking.com","Media.net - Line item",1068,2.51,0.00,2.35
"01-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",5915,13.37,0.00,2.26
"01-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2225,4.40,0.00,1.98
"01-DEC-2023","commandcooking.com","Pubmatic Line item",1209,2.54,0.00,2.10
"01-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",37,0.06,0.00,1.63
"01-DEC-2023","commandcooking.com","Rise Line Item",408,1.26,0.00,3.08
"01-DEC-2023","commandcooking.com","Sharethrough - Line item",364,1.67,0.00,4.59
"01-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",172,0.56,0.00,3.23
"01-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5186,23.98,0.00,4.62
"01-DEC-2023","commandcooking.com","Unruly Line Item",301,1.13,0.00,3.75
"01-DEC-2023","commandcooking.com","Xandr - CC - Line Item",233,0.80,0.00,3.43
"01-DEC-2023","texashillcountry.com","Rise Line Item",2,0.00,0.00,1.70
"01-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1042,2.28,0.00,2.19
"01-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",5176,1.55,0.00,0.30
"01-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",64,0.11,0.00,1.74
"01-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2341,7.00,0.00,2.99
"02-DEC-2023","commandcooking.com","Conversant - CC - Line item",962,2.28,0.00,2.37
"02-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",50382,25.19,0.00,0.50
"02-DEC-2023","commandcooking.com","Media.net - Line item",1063,2.63,0.00,2.47
"02-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",6427,16.75,0.00,2.61
"02-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2423,5.22,0.00,2.15
"02-DEC-2023","commandcooking.com","Pubmatic Line item",1220,2.43,0.00,2.00
"02-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",5,0.04,0.00,7.68
"02-DEC-2023","commandcooking.com","Rise Line Item",450,1.33,0.00,2.97
"02-DEC-2023","commandcooking.com","Sharethrough - Line item",496,2.45,0.00,4.95
"02-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",177,0.45,0.00,2.57
"02-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",28116,38.86,0.00,1.38
"02-DEC-2023","commandcooking.com","Unruly Line Item",349,1.28,0.00,3.66
"02-DEC-2023","commandcooking.com","Xandr - CC - Line Item",177,0.60,0.00,3.41
"02-DEC-2023","texashillcountry.com","Rise Line Item",1,0.00,0.00,4.00
"02-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1596,2.63,0.00,1.65
"02-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",4479,1.34,0.00,0.30
"02-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",29,0.07,0.00,2.50
"02-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",4500,5.18,0.00,1.15
"03-DEC-2023","commandcooking.com","Conversant - CC - Line item",1501,3.47,0.00,2.31
"03-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",53991,27.00,0.00,0.50
"03-DEC-2023","commandcooking.com","Media.net - Line item",1043,2.62,0.00,2.52
"03-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",7154,17.40,0.00,2.43
"03-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2869,6.26,0.00,2.18
"03-DEC-2023","commandcooking.com","Pubmatic Line item",1748,3.41,0.00,1.95
"03-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",15,0.06,0.00,3.72
"03-DEC-2023","commandcooking.com","Rise Line Item",406,1.43,0.00,3.51
"03-DEC-2023","commandcooking.com","Sharethrough - Line item",665,4.35,0.00,6.55
"03-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",134,0.51,0.00,3.82
"03-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",10820,31.05,0.00,2.87
"03-DEC-2023","commandcooking.com","Unruly Line Item",362,1.28,0.00,3.54
"03-DEC-2023","commandcooking.com","Xandr - CC - Line Item",185,0.52,0.00,2.79
"03-DEC-2023","texashillcountry.com","Rise Line Item",2,0.01,0.00,5.03
"03-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",623,2.13,0.00,3.42
"03-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",5685,1.71,0.00,0.30
"03-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",11,0.02,0.00,1.48
"03-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1217,3.41,0.00,2.80
"04-DEC-2023","commandcooking.com","Conversant - CC - Line item",1693,3.62,0.00,2.14
"04-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",61239,30.62,0.00,0.50
"04-DEC-2023","commandcooking.com","Media.net - Line item",1013,2.84,0.00,2.80
"04-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",7440,17.34,0.00,2.33
"04-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2748,5.22,0.00,1.90
"04-DEC-2023","commandcooking.com","Pubmatic Line item",1855,3.34,0.00,1.80
"04-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",54,0.13,0.00,2.44
"04-DEC-2023","commandcooking.com","Rise Line Item",749,2.02,0.00,2.69
"04-DEC-2023","commandcooking.com","Sharethrough - Line item",604,3.65,0.00,6.05
"04-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",184,0.47,0.00,2.53
"04-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",13774,31.02,0.00,2.25
"04-DEC-2023","commandcooking.com","Unruly Line Item",450,1.36,0.00,3.03
"04-DEC-2023","commandcooking.com","Xandr - CC - Line Item",229,0.51,0.00,2.21
"04-DEC-2023","cookingprofessionally.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.00,0.00,0.25
"04-DEC-2023","texashillcountry.com","Rise Line Item",1,0.01,0.00,13.95
"04-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1296,2.63,0.00,2.03
"04-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",10619,3.19,0.00,0.30
"04-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",38,0.10,0.00,2.64
"04-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",3303,8.84,0.00,2.68
"05-DEC-2023","commandcooking.com","Conversant - CC - Line item",1917,4.88,0.00,2.55
"05-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",57112,28.56,0.00,0.50
"05-DEC-2023","commandcooking.com","Media.net - Line item",961,2.72,0.00,2.83
"05-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",7001,18.15,0.00,2.59
"05-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2538,4.34,0.00,1.71
"05-DEC-2023","commandcooking.com","Pubmatic Line item",2090,3.52,0.00,1.69
"05-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",143,0.29,0.00,2.03
"05-DEC-2023","commandcooking.com","Rise Line Item",708,1.90,0.00,2.68
"05-DEC-2023","commandcooking.com","Sharethrough - Line item",594,3.82,0.00,6.43
"05-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",210,0.58,0.00,2.78
"05-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5783,20.90,0.00,3.61
"05-DEC-2023","commandcooking.com","Unruly Line Item",495,1.25,0.00,2.52
"05-DEC-2023","commandcooking.com","Xandr - CC - Line Item",199,0.53,0.00,2.68
"05-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1135,2.63,0.00,2.32
"05-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",5678,1.70,0.00,0.30
"05-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",39,0.06,0.00,1.57
"05-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2468,6.00,0.00,2.43
"06-DEC-2023","commandcooking.com","Conversant - CC - Line item",1746,4.03,0.00,2.31
"06-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",58823,29.41,0.00,0.50
"06-DEC-2023","commandcooking.com","Media.net - Line item",879,2.03,0.00,2.31
"06-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",6866,14.17,0.00,2.06
"06-DEC-2023","commandcooking.com","OpenX - CC - Line Item",1915,3.51,0.00,1.83
"06-DEC-2023","commandcooking.com","Pubmatic Line item",1482,2.45,0.00,1.65
"06-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",116,0.41,0.00,3.52
"06-DEC-2023","commandcooking.com","Rise Line Item",759,3.73,0.00,4.91
"06-DEC-2023","commandcooking.com","Sharethrough - Line item",435,2.93,0.00,6.74
"06-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",271,0.71,0.00,2.64
"06-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",3769,16.50,0.00,4.38
"06-DEC-2023","commandcooking.com","Unruly Line Item",346,1.23,0.00,3.56
"06-DEC-2023","commandcooking.com","Xandr - CC - Line Item",167,0.44,0.00,2.64
"06-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",955,2.16,0.00,2.26
"06-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",6327,1.90,0.00,0.30
"06-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",67,0.09,0.00,1.30
"06-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2541,6.69,0.00,2.63
"07-DEC-2023","calcsimple.com","Unruly Line Item",845,2.41,0.00,2.86
"07-DEC-2023","commandcooking.com","Conversant - CC - Line item",1844,6.15,0.00,3.34
"07-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",50584,25.29,0.00,0.50
"07-DEC-2023","commandcooking.com","Media.net - Line item",703,1.75,0.00,2.49
"07-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",7386,17.40,0.00,2.36
"07-DEC-2023","commandcooking.com","OpenX - CC - Line Item",1490,3.48,0.00,2.34
"07-DEC-2023","commandcooking.com","Pubmatic Line item",1103,2.24,0.00,2.03
"07-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",116,0.26,0.00,2.26
"07-DEC-2023","commandcooking.com","Rise Line Item",536,3.58,0.00,6.68
"07-DEC-2023","commandcooking.com","Sharethrough - Line item",388,2.65,0.00,6.83
"07-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",228,0.81,0.00,3.53
"07-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",11681,23.62,0.00,2.02
"07-DEC-2023","commandcooking.com","Unruly Line Item",233,0.88,0.00,3.79
"07-DEC-2023","commandcooking.com","Xandr - CC - Line Item",140,0.40,0.00,2.88
"07-DEC-2023","cookingprofessionally.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.00,0.00,0.25
"07-DEC-2023","easiereats.com","Rise Line Item",1,0.00,0.00,1.38
"07-DEC-2023","easiereats.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.01,0.00,9.75
"07-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",832,2.66,0.00,3.20
"07-DEC-2023","texashillcountry.com","Unruly Line Item",24,0.11,0.00,4.74
"07-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",4949,1.48,0.00,0.30
"07-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",66,0.10,0.00,1.49
"07-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2587,7.71,0.00,2.98
"07-DEC-2023","www.golaurens.com","Unruly Line Item",100,0.28,0.00,2.83
"08-DEC-2023","calcsimple.com","Unruly Line Item",943,2.80,0.00,2.97
"08-DEC-2023","commandcooking.com","Conversant - CC - Line item",1619,5.08,0.00,3.14
"08-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",49416,24.71,0.00,0.50
"08-DEC-2023","commandcooking.com","Media.net - Line item",1075,2.32,0.00,2.16
"08-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",6164,16.68,0.00,2.71
"08-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2113,3.91,0.00,1.85
"08-DEC-2023","commandcooking.com","Pubmatic Line item",1019,1.82,0.00,1.79
"08-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",76,0.19,0.00,2.52
"08-DEC-2023","commandcooking.com","Rise Line Item",759,3.51,0.00,4.62
"08-DEC-2023","commandcooking.com","Sharethrough - Line item",369,2.46,0.00,6.67
"08-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",376,1.28,0.00,3.40
"08-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5623,18.12,0.00,3.22
"08-DEC-2023","commandcooking.com","Unruly Line Item",414,1.57,0.00,3.78
"08-DEC-2023","commandcooking.com","Xandr - CC - Line Item",181,0.50,0.00,2.77
"08-DEC-2023","glamourfame.com","Unruly Line Item",2,0.01,0.00,3.29
"08-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1360,2.58,0.00,1.90
"08-DEC-2023","texashillcountry.com","Unruly Line Item",95,0.22,0.00,2.33
"08-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",6047,1.81,0.00,0.30
"08-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",24,0.05,0.00,2.13
"08-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2271,6.57,0.00,2.89
"08-DEC-2023","www.golaurens.com","Unruly Line Item",180,0.41,0.00,2.27
"08-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",4269,16.14,0.00,3.78
"08-DEC-2023","www.stilt.com","Unruly Line Item",524,1.72,0.00,3.29
"09-DEC-2023","calcsimple.com","Unruly Line Item",72,0.25,0.00,3.52
"09-DEC-2023","commandcooking.com","Conversant - CC - Line item",944,2.25,0.00,2.39
"09-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",54097,27.05,0.00,0.50
"09-DEC-2023","commandcooking.com","Media.net - Line item",1346,2.88,0.00,2.14
"09-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",9094,20.67,0.00,2.27
"09-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2384,4.32,0.00,1.81
"09-DEC-2023","commandcooking.com","Pubmatic Line item",1040,2.15,0.00,2.07
"09-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",50,0.16,0.00,3.16
"09-DEC-2023","commandcooking.com","Rise Line Item",892,3.75,0.00,4.20
"09-DEC-2023","commandcooking.com","Sharethrough - Line item",481,3.24,0.00,6.74
"09-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",369,1.18,0.00,3.18
"09-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",10427,27.12,0.00,2.60
"09-DEC-2023","commandcooking.com","Unruly Line Item",319,1.25,0.00,3.93
"09-DEC-2023","commandcooking.com","Xandr - CC - Line Item",113,0.37,0.00,3.28
"09-DEC-2023","texashillcountry.com","Rise Line Item",2,0.01,0.00,2.89
"09-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",595,2.61,0.00,4.39
"09-DEC-2023","texashillcountry.com","Unruly Line Item",127,0.28,0.00,2.21
"09-DEC-2023","www.flickchart.com","Unruly Line Item",8,0.02,0.00,2.55
"09-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",5473,1.64,0.00,0.30
"09-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",15,0.03,0.00,1.71
"09-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2150,6.91,0.00,3.21
"09-DEC-2023","www.golaurens.com","Unruly Line Item",108,0.30,0.00,2.81
"09-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",11609,29.45,0.00,2.54
"09-DEC-2023","www.stilt.com","Unruly Line Item",401,1.42,0.00,3.54
"10-DEC-2023","calcsimple.com","Unruly Line Item",18,0.06,0.00,3.33
"10-DEC-2023","commandcooking.com","Conversant - CC - Line item",1744,3.86,0.00,2.22
"10-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",66000,33.00,0.00,0.50
"10-DEC-2023","commandcooking.com","Media.net - Line item",1337,2.64,0.00,1.97
"10-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",8068,17.91,0.00,2.22
"10-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2386,4.04,0.00,1.70
"10-DEC-2023","commandcooking.com","Pubmatic Line item",1066,1.87,0.00,1.76
"10-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",68,0.19,0.00,2.74
"10-DEC-2023","commandcooking.com","Rise Line Item",592,2.13,0.00,3.59
"10-DEC-2023","commandcooking.com","Sharethrough - Line item",447,3.11,0.00,6.95
"10-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",370,1.30,0.00,3.51
"10-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",11591,21.95,0.00,1.89
"10-DEC-2023","commandcooking.com","Unruly Line Item",311,1.29,0.00,4.13
"10-DEC-2023","commandcooking.com","Xandr - CC - Line Item",155,0.39,0.00,2.50
"10-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1032,2.14,0.00,2.08
"10-DEC-2023","texashillcountry.com","Unruly Line Item",108,0.21,0.00,1.94
"10-DEC-2023","www.flickchart.com","Unruly Line Item",4,0.01,0.00,2.27
"10-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",3584,1.08,0.00,0.30
"10-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",21,0.15,0.00,7.02
