day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-05T00:00:00;marriedceleb.com;0.567683;432;0.454146
2023-12-05T00:00:00;goodcleanhumor.com;0.604266;255;0.483413
2023-12-17T00:00:00;popctrivia.com;0.007121;1;0.005697
2023-12-17T00:00:00;www.golaurens.com;0.659604;408;0.527683
2023-12-17T00:00:00;schoolofwordplay.com;0.379338;161;0.303470
2023-12-09T00:00:00;taxguru.in;0.245573;523;0.196458
2023-12-09T00:00:00;chartink.com;0.011540;9;0.009232
2023-12-09T00:00:00;wordthirst.com;0.782266;516;0.625813
2023-12-09T00:00:00;lazycooking.com;0.762082;183;0.609666
2023-12-09T00:00:00;keralakaumudi.com;1.620525;1883;1.296420
2023-12-09T00:00:00;www.downtoearth.org.in;0.070042;211;0.056034
2023-12-09T00:00:00;www.becauseofthemwecan.com;0.495112;815;0.396090
2023-12-01T00:00:00;recipesaver.com;1.373761;243;1.099009
2023-12-13T00:00:00;ijr.com;0.086882;111;0.069506
2023-12-13T00:00:00;kookmutsjes.com;2.080411;1827;1.664329
2023-12-13T00:00:00;recipereader.com;2.932028;404;2.345622
2023-12-13T00:00:00;heartlandcooking.com;2.215278;525;1.772222
2023-12-13T00:00:00;www.britishmalayali.co.uk;0.077310;204;0.061848
2023-12-06T00:00:00;theprint.in;2.616473;5015;2.093178
2023-12-06T00:00:00;www.binged.com;1.633425;2028;1.306740
2023-12-06T00:00:00;www.timeshighereducation.com;2.342167;1800;1.873734
2023-12-18T00:00:00;glamourfame.com;0.050158;57;0.040126
2023-12-18T00:00:00;recipesdirect.com;0.878256;161;0.702605
2023-12-10T00:00:00;nowtoronto.com;0.578891;654;0.463113
2023-12-10T00:00:00;www.shmoop.com;0.168243;116;0.134594
2023-12-10T00:00:00;www.homernews.com;0.003944;7;0.003155
2023-12-10T00:00:00;www.keralakaumudi.com;0.000368;2;0.000294
2023-12-02T00:00:00;www.flickchart.com;0.837830;892;0.670264
2023-12-14T00:00:00;chartink.com;0.036222;20;0.028978
2023-12-14T00:00:00;wordthirst.com;0.264801;70;0.211841
2023-12-14T00:00:00;www.popctrivia.com;0.477966;132;0.382373
2023-12-14T00:00:00;texashillcountry.com;0.089854;57;0.071883
2023-12-14T00:00:00;www.divyabhaskar.co.in;0.000119;1;0.000095
2023-12-14T00:00:00;www.downtoearth.org.in;0.109486;431;0.087589
2023-12-19T00:00:00;m.thewire.in;0.173880;73;0.139104
2023-12-19T00:00:00;recipesaver.com;1.315116;372;1.052093
2023-12-19T00:00:00;sites.google.com;0.003226;5;0.002581
2023-12-11T00:00:00;thewire.in;0.375337;163;0.300270
2023-12-11T00:00:00;theprint.in;3.020716;5839;2.416573
2023-12-11T00:00:00;britishmalayali.co.uk;0.066262;502;0.053010
2023-12-03T00:00:00;ijr.com;0.066423;85;0.053138
2023-12-03T00:00:00;popctrivia.com;0.033700;3;0.026960
2023-12-03T00:00:00;m.riverbender.com;0.082782;161;0.066226
2023-12-03T00:00:00;epaper.freepressjournal.in;0.019293;17;0.015434
2023-12-15T00:00:00;nowtoronto.com;1.064970;1101;0.851976
2023-12-15T00:00:00;www.shmoop.com;0.312439;156;0.249951
2023-12-15T00:00:00;commandcooking.com;1.791202;426;1.432962
2023-12-15T00:00:00;www.keralakaumudi.com;0.006857;10;0.005486
2023-12-16T00:00:00;ijr.com;0.039842;60;0.031874
2023-12-16T00:00:00;kookmutsjes.com;2.429613;2751;1.943690
2023-12-16T00:00:00;www.elections.in;0.008145;37;0.006516
2023-12-16T00:00:00;schoolofwordplay.com;0.400115;204;0.320092
2023-12-08T00:00:00;glamourfame.com;0.174995;72;0.139996
2023-12-20T00:00:00;theprint.in;0.494919;977;0.395935
2023-12-20T00:00:00;www.timeshighereducation.com;0.279293;363;0.223434
2023-12-12T00:00:00;www.bhaskar.com;0.003852;17;0.003082
2023-12-12T00:00:00;www.rmweb.co.uk;0.028341;41;0.022673
2023-12-12T00:00:00;www.golaurens.com;1.201570;710;0.961256
2023-12-12T00:00:00;www.freepressjournal.in;0.157825;220;0.126260
2023-12-05T00:00:00;chartink.com;0.017183;26;0.013746
2023-12-17T00:00:00;glamourfame.com;0.058629;41;0.046903
2023-12-17T00:00:00;recipesdirect.com;1.295408;252;1.036326
2023-12-09T00:00:00;www.homernews.com;0.007066;7;0.005653
2023-12-01T00:00:00;wordthirst.com;0.236182;158;0.188946
2023-12-01T00:00:00;www.mirchi9.com;0.012604;14;0.010083
2023-12-01T00:00:00;www.popctrivia.com;0.808488;189;0.646790
2023-12-01T00:00:00;texashillcountry.com;0.201650;111;0.161320
2023-12-01T00:00:00;www.becauseofthemwecan.com;2.409993;3473;1.927994
2023-12-13T00:00:00;thewire.in;0.230710;110;0.184568
2023-12-13T00:00:00;easiereats.com;0.322857;86;0.258286
2023-12-13T00:00:00;fr.mapsofworld.com;0.000644;1;0.000515
2023-12-06T00:00:00;www.bhaskar.com;0.004276;19;0.003421
2023-12-06T00:00:00;m.riverbender.com;0.202367;304;0.161894
2023-12-18T00:00:00;www.m9.news;1.891205;1972;1.512964
2023-12-18T00:00:00;recipesaver.com;1.602523;313;1.282018
2023-12-18T00:00:00;www.riverbender.com;0.097617;53;0.078094
2023-12-18T00:00:00;secure.andysautosport.com;0.000552;1;0.000442
2023-12-18T00:00:00;epaper.freepressjournal.in;0.026870;22;0.021496
2023-12-02T00:00:00;nowtoronto.com;0.095634;147;0.076507
2023-12-02T00:00:00;www.shmoop.com;0.192450;146;0.153960
2023-12-02T00:00:00;m.riverbender.com;0.307334;399;0.245867
2023-12-02T00:00:00;commandcooking.com;2.330250;589;1.864200
2023-12-02T00:00:00;www.standartnews.com;0.926383;527;0.741106
2023-12-02T00:00:00;www.andysautosport.com;0.501973;294;0.401578
2023-12-02T00:00:00;www.freepressjournal.in;0.274570;328;0.219656
2023-12-14T00:00:00;funnyeditor.com;0.069287;16;0.055430
2023-12-14T00:00:00;recipereader.com;1.883443;293;1.506754
2023-12-14T00:00:00;www.riverbender.com;0.131291;31;0.105033
2023-12-14T00:00:00;heartlandcooking.com;1.936886;438;1.549509
2023-12-14T00:00:00;www.keralakaumudi.com;0.007616;8;0.006093
2023-12-07T00:00:00;news.php;0.001359;10;0.001087
2023-12-07T00:00:00;thewire.in;0.590507;204;0.472406
2023-12-07T00:00:00;www.flickchart.com;0.694022;752;0.555218
2023-12-19T00:00:00;www.mirchi9.com;0.037927;64;0.030342
2023-12-19T00:00:00;www.westernjournal.com;0.691372;376;0.553098
2023-12-11T00:00:00;www.stilt.com;2.043833;1075;1.635066
2023-12-11T00:00:00;www.golaurens.com;0.779206;427;0.623365
2023-12-11T00:00:00;www.freepressjournal.in;0.205176;299;0.164141
2023-12-03T00:00:00;keralakaumudi.com;1.136478;1513;0.909182
2023-12-15T00:00:00;glamourpath.com;0.101110;100;0.080888
2023-12-15T00:00:00;texashillcountry.com;0.159367;76;0.127494
2023-12-15T00:00:00;britishmalayali.co.uk;0.062277;256;0.049822
2023-12-15T00:00:00;www.becauseofthemwecan.com;3.099612;4280;2.479690
2023-12-04T00:00:00;www.mirchi9.com;0.002280;3;0.001824
