Date,Placement,Ad unit,Device category,Total impressions,Total clicks,Total CPM and CPC revenue ($),Total average eCPM ($),Total CTR,Total Active View % viewable impressions,Total Active View average viewable time (seconds),Programmatic eligible ad requests
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_AXT,Desktop,"53,784",109,176.04,3.27,0.20%,95.64%,21.43,"61,454"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_AXT,Smartphone,50,0,0.18,3.59,0.00%,68.00%,27.23,56
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_AXT,Tablet,634,0,2.20,3.48,0.00%,92.53%,24.07,758
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_CP,Desktop,120,0,0.32,2.65,0.00%,88.24%,13.36,370
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_CP,Tablet,3,0,0.01,1.80,0.00%,0.00%,0.00,25
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_RP,Desktop,"11,098",13,34.82,3.14,0.12%,94.91%,17.56,"36,231"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_RP,Tablet,7,0,0.01,1.32,0.00%,0.00%,1.00,"4,875"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_TAG,Desktop,68,0,0.30,4.44,0.00%,93.94%,20.40,218
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_LHS_TAG,Tablet,0,0,0.00,0.00,0.00%,0.00%,0.00,23
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_SB_HP,Desktop,223,0,0.87,3.89,0.00%,85.58%,18.58,596
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_SB_HP,Tablet,7,0,0.02,3.40,0.00%,33.33%,1.14,93
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_CP,Desktop,169,1,0.46,2.75,0.59%,92.81%,12.40,379
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_CP,Tablet,13,0,0.03,2.28,0.00%,54.55%,8.62,25
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_RP,Desktop,"18,569",22,54.60,2.94,0.12%,94.37%,17.67,"38,490"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_RP,Tablet,547,1,2.32,4.25,0.18%,85.12%,22.27,"5,016"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_TAG,Desktop,114,0,0.43,3.76,0.00%,93.69%,18.90,223
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_160x600_RHS_TAG,Tablet,6,0,0.03,4.49,0.00%,83.33%,25.60,23
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_120x600_AXT,Smartphone,6,0,0.01,2.04,0.00%,66.67%,12.00,10
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x50_AXT,Smartphone,320,2,0.62,1.95,0.62%,65.59%,21.82,574
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x50_AXT,Tablet,8,0,0.01,1.75,0.00%,100.00%,26.00,12
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x600_AXT,Smartphone,"6,937",152,44.69,6.44,2.19%,68.21%,19.01,"7,492"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x600_AXT,Tablet,13,0,0.07,5.24,0.00%,38.46%,10.10,14
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x100_AXT,Smartphone,0,0,0.00,0.00,0.00%,0.00%,0.00,1
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_AXT,Desktop,"2,821",17,9.56,3.39,0.60%,81.57%,19.28,"3,172"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_AXT,Smartphone,392,0,1.46,3.71,0.00%,70.51%,21.00,464
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_AXT,Tablet,130,0,0.43,3.28,0.00%,72.73%,19.93,158
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_INR2_HP,Desktop,212,0,0.87,4.08,0.00%,68.90%,8.95,246
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_INR2_HP,Tablet,27,0,0.09,3.31,0.00%,74.07%,9.26,32
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_INR2_RP,Desktop,"24,375",108,71.76,2.94,0.44%,76.59%,12.26,"29,845"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_INR2_RP,Tablet,921,2,2.49,2.71,0.22%,64.32%,16.87,"1,377"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_Interstitial,Desktop,"1,502",105,45.73,30.45,6.99%,97.20%,10.23,"44,013"
7/12/23,Commandcooking.com,ATD_CommandCooking » ATD_300x250_Interstitial,Smartphone,"3,917",339,97.90,24.99,8.65%,93.36%,6.65,"110,957"
