Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-02-26,Web,nakkheeran.in,21713359017/ATD_Nakkheeran/ATD_320x100_AXT,300x50,19,0.00
2023-02-26,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x600_INR2,300x250,720,0.51
2023-02-26,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_AP_INR1_M,300x250,637,0.44
2023-02-22,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x250_P3,336x280,364,0.11
2023-02-22,Web,chartink.com,21824144874/ATD_Chartink/ATD_320x50_FOOTER_M,320x50,212,0.09
2023-02-22,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_AP_TOP_M,300x250,106,0.07
2023-02-16,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_320x50_FWA,320x50,331,0.26
2023-02-16,Web,thewire.in,22631205490/ATD_TheWire/ATD_728x90_Desktop_Homepage_INR1,728x90,189,0.13
2023-02-16,AMP,thewire.in,/22631205490/ATD_ScienceThewire_AMP/ATD_300x250_INR1,336x280,11,0.00
2023-02-25,AMP,nakkheeran.in,/21713359017/NK_AMP_Display_AP_MLB_FTR,320x50,"1,485",0.48
2023-02-25,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR4,300x250,"1,243",0.76
2023-02-25,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x600_Interscroller,336x280,101,0.04
2023-02-25,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_160x600_AXT,160x600,"2,127",1.39
2023-02-25,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x600_INTERSCROLLER,336x280,641,0.30
2023-02-24,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR4,300x250,949,0.58
2023-02-24,AMP,nakkheeran.in,/21713359017/NK_AMP_Display_AP_MLB_FTR,320x50,"1,660",0.57
2023-02-07,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_970x90_GENERAL,728x90,740,0.57
2023-02-07,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INR3_AMP,300x250,"3,557",2.29
2023-02-07,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x250_P2,336x280,312,0.16
2023-02-11,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x250_MS,300x250,"2,598",1.62
2023-02-11,AMP,theprint.in,/21801000562/ATD_hindi.theprint_AMP/ATD_300x250_ATF_AMP,300x250,263,0.07
2023-02-11,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_160x600_GENERAL,160x600,469,0.36
2023-02-11,Web,theprint.in,21801000562/ATD_ThePrint/ATD_160x600_AXT,160x600,540,0.16
2023-02-28,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INREAD_AMP,300x250,885,0.72
2023-02-28,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_M_HP_INR4,336x280,60,0.03
2023-02-28,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x600_INR2,336x280,127,0.05
2023-02-03,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INR2_AMP,300x600,"1,373",1.01
2023-02-03,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x600_AXT,300x600,22,0.01
2023-02-03,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_120x600_AXT,120x600,459,0.17
2023-02-28,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_AP_INR1_M,300x250,769,0.51
2023-02-28,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR3,336x280,700,0.29
2023-02-14,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_ATF_AMP,300x250,"4,664",2.93
2023-02-14,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_AXT,300x250,"1,531",0.96
2023-02-14,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x250_P1,336x280,688,0.30
2023-02-14,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_M_HP_INR2,300x250,131,0.08
2023-02-14,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_APP,336x280,315,0.20
