Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-02-14,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_160x600_AXT",160x600,"1,540",0.74
2023-02-14,AMP,bollywoodhungama.com,"/21804848220,23843038/ATD_BH_AMP/ATD_320x50_Footer",300x50,"3,840",1.27
2023-02-14,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_320x50_FWA",320x50,658,1.12
2023-02-14,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_MH_RP",728x90,145,0.69
2023-02-14,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_160x600_AXT",160x600,52,0.05
2023-02-14,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_RP",160x600,43,0.20
2023-02-04,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_AP_TH,300x250,"4,146",0.59
2023-02-04,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x600_NewScroller,300x600,"3,952",0.58
2023-02-04,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_320x50_AXT",320x50,578,0.74
2023-02-19,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_AL_BTF1_300x250,250x250,526,0.03
2023-02-19,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_300x50_Footer_sticky_M",300x50,115,0.06
2023-02-19,Web,deccanherald.com,1013527/ATD_dch/ATD_970x250_GENERAL,728x90,664,0.89
2023-02-19,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x600_INR2_AP",300x600,48,0.11
2023-02-19,Web,prajavani.net,1013527/ATD_Prajavani/ATD_300x250_GENERAL,336x280,226,0.02
2023-02-19,Web,prajavani.net,1013527/ATD_Prajavani/ATD_300x250_GENERAL,300x250,"1,090",0.47
2023-02-10,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_728x90_Footer",728x90,"1,941",6.56
2023-02-10,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_INR2_RP",300x250,688,2.06
2023-02-10,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_970x250_EOP_D",970x250,"1,570",1.32
2023-02-10,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_300x250_Intentt",300x250,172,0.18
2023-02-10,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_160x600_RHS_SIDEBAR_D",160x600,"1,435",1.09
2023-02-10,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_320x100_MH_M_WP",320x100,100,0.16
2023-02-10,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_SP_Health_AD3,300x250,50,0.01
2023-02-10,Web,deccanherald.com,1013527/ATD_dch/ATD_970x90_GENERAL,728x90,"1,486",1.14
2023-02-10,AMP,mapsofworld.com,/1152375/ATD_MOW_AMP/ATD_300x250_AMP_MPU_2,300x250,183,0.12
2023-02-10,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x600_GENERAL,160x600,41,0.08
