Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_AP,728x90,277,0.22
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,300x250,367,0.15
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_Footer_M,320x50,512,0.65
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,12,0.02
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,300x250,862,0.44
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_HP_M,300x250,23,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_AP,160x600,79,0.11
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP,728x90,34,0.04
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_AXT,320x50,110,0.08
2023-02-07,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,300x50,11,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_AP,160x600,111,0.13
2023-02-05,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,97,0.09
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_AXT,160x600,5,0.01
2023-02-06,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,64,0.02
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_SP,728x90,16,0.02
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_AP,728x90,123,0.08
2023-02-06,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,300x50,8,0.00
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,300x250,5,0.01
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,300x250,10,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,300x250,15,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,15,0.01
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,6,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP,728x90,17,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,336x280,1,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x250,14,0.01
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,336x280,24,0.04
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_AP_M,300x250,4,0.00
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_SP,728x90,5,0.01
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,728x90,7,0.04
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,120x600,1,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,336x280,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,336x280,3,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_EOA_HP,970x250,13,0.01
2023-02-11,Web,nowtoronto.com,/68572626/mp_leaderboard_bottom,970x250,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,728x90,14,0.01
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x90,2,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,336x280,2,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,336x280,1,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_728x90_AXT,728x90,1,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_AXT,300x250,10,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_AP,160x600,104,0.13
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,728x90,16,0.04
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,300x250,6,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_Footer_M,320x50,354,0.33
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,160x600,19,0.02
2023-02-06,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x90,53,0.03
2023-02-05,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x250,113,0.05
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_HP,160x600,10,0.02
2023-02-08,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x250,252,0.10
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_HP,728x90,14,0.01
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,336x280,51,0.01
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_HP_M,300x250,8,0.01
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_AXT,970x250,2,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_AP,160x600,57,0.07
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP_M,300x250,7,0.00
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,300x250,2,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,336x280,3,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,160x600,10,0.02
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_HP,160x600,25,0.02
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x90,2,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_HP_M,300x250,6,0.01
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_SP,728x90,12,0.01
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_GENERAL,320x50,1,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_AP_M,300x250,2,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,336x280,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP_M,300x250,9,0.01
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP_M,336x280,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_GENERAL,320x50,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,970x250,2,0.00
2023-02-07,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,320x50,59,0.02
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_AP,728x90,232,0.20
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_AP_M,336x280,59,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_Footer_M,320x50,330,0.40
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_320x50_Footer_M,320x50,271,0.36
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_HP,728x90,20,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_AXT,970x250,4,0.08
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR1_HP,728x90,21,0.03
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_AXT,300x250,7,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,8,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR4_HP_M,300x250,11,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,970x250,9,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP_M,300x250,16,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,300x250,7,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_HP,160x600,34,0.03
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,300x250,6,0.01
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_HP,160x600,27,0.05
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_LB_HP,728x90,13,0.03
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_AXT,160x600,7,0.01
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x250,22,0.04
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,160x600,10,0.01
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_AXT,970x250,1,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,160x600,20,0.02
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,120x600,5,0.00
2023-02-07,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP,336x280,2,0.00
2023-02-10,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,300x50,3,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,336x280,1,0.00
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_INR2_AP,336x280,1,0.00
2023-02-06,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,300x250,7,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_AXT,300x250,13,0.01
2023-02-06,Web,nowtoronto.com,68572626/mp_leaderboard_top,728x90,2,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_SP,970x250,2,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x250,24,0.02
2023-02-09,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_LHS_HP,120x600,1,0.00
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_LB_HP_M,336x280,1,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_EOA_AP,970x90,3,0.00
2023-02-11,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR2_HP_M,336x280,1,0.00
2023-02-10,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_300x250_INR3_HP_M,336x280,1,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_GENERAL,970x250,4,0.00
2023-02-08,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_970x250_AXT,970x250,1,0.00
2023-02-05,Web,nowtoronto.com,68572626/ATD_Nowtoronto.com/ATD_160x600_RHS_HP,120x600,1,0.00
2023-02-07,Web,nowtoronto.com,68572626/mp_leaderboard_bottom,970x90,50,0.02
