,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
0,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_320x100_M_MH_RP",320x50,1408,2.69
1,20230429,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_970x90_Footer",728x90,2,0.0
2,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_EOA_RP",728x90,4,0.06
3,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_BMP_RP",336x280,9,0.07
4,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_728x90_Footer",728x90,419,0.99
15,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR3_RP",160x600,39,0.24
16,20230429,Web,glamourpath.com,175265624/ATD_Glamourpath/970x250_S2S_Intentt,300x250,0,0.0
17,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/ATD_728x90_Footer_Sticky_D,728x90,0,0.0
18,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_BMP_RP",300x50,17,0.07
21,20230429,AMP,prajavani.net,/1013527/PV_AMP_Display_MLB_FTR,320x50,0,0.0
24,20230429,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_AP_EOA,300x250,302,0.09
38,20230429,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x600_INR2_AP",336x280,2,0.0
75,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR4_WP",160x600,0,0.0
85,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR2_CP",336x280,0,0.0
96,20230429,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_160x600_LHS",120x600,0,0.0
106,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/ATD_300x250_General,300x250,0,0.0
109,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_HP",300x250,0,0.0
124,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_EOA_HP",300x100,0,0.0
126,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_MH_CP",970x250,0,0.0
127,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR1_HP",320x100,0,0.0
132,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_EOA_TAG",970x250,0,0.0
142,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_CP",300x50,0,0.0
145,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_INR5_JP",300x250,0,0.0
151,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_CP",300x250,0,0.0
164,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR3_HP",120x600,0,0.0
170,20230429,AMP,thehindu.com,/22390678/HIndu_AMP_Top,300x250,0,0.0
171,20230429,Web,recipesaver.com,unknown,other,0,0.0
172,20230429,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_TOP_M",336x280,90,0.11
173,20230429,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x600_Direct_campiagn,300x250,60,0.01
174,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x600_GENERAL,300x600,115,0.27
175,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_970x90_homepage-header,728x90,91,0.2
182,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_BMP_RP",120x600,0,0.0
183,20230429,Web,glamourfame.com,"21804848220,21814143669/ATD_Glamourfame/ATD_300x250_Top",300x250,69,0.11
190,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR6_JP",970x250,4,0.03
207,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/ATD_160x600_AXT,160x600,0,0.0
208,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_RP",1x1,0,0.0
214,20230429,Web,thenewsminute.com,175265624/ATD_TNM/300x600_S2S_Intentt,300x600,0,0.0
236,20230429,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_160x600_GENERAL",160x600,4,0.01
237,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_INR1_WP",300x100,0,0.0
239,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_EOA_RP",1x1,0,0.0
247,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x250_AXT",300x250,6,0.01
272,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_MH_HP",970x90,0,0.0
289,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_CP",300x600,0,0.0
291,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_EOA_CP",728x90,0,0.0
301,20230429,Web,mapsofworld.com,1152375/MOW-160-Admeld-7,160x600,0,0.0
319,20230429,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_970x250_TOP",970x250,926,2.07
320,20230429,AMP,bollywoodhungama.com,"/21804848220,23843038/ATD_BH_AMP/ATD_320x250_Footer",320x50,1408,0.66
321,20230429,Web,deccanherald.com,1013527/ATD_dch/ATD_728x90_S1,728x90,869,0.91
322,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_RP",300x250,184,1.15
323,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_RP",300x600,236,2.49
