Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
2023-02-04,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_320x50_Footer,320x50,"4,063",2.93
2023-02-04,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_INR3_AMP,300x250,"2,162",1.69
2023-02-04,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x250_P2,336x280,247,0.19
2023-02-04,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x600_Interscroller,300x250,"1,457",0.59
2023-02-04,AMP,nakkheeran.in,/21713359017/NK_AMP_Display_AP_MR_P2,300x250,244,0.12
2023-02-04,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x250_MS,300x250,"2,397",1.39
2023-02-04,Web,keralakaumudi.com,175265624/300x250_KK_PT,300x250,"1,145",0.92
2023-02-04,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_320x50_AXT,320x50,163,0.18
2023-02-04,Web,nakkheeran.in,21713359017/nk_desktop_hp_display_lb_p1,728x90,24,0.02
2023-02-05,Web,nakkheeran.in,21713359017/nk_desktop_hp_display_mr_p1,300x250,21,0.03
2023-02-05,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x600_FC,300x250,262,0.13
2023-02-05,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_320x50_Footer,320x50,"4,254",3.33
2023-02-05,AMP,theprint.in,/21801000562/ATD_hindi.theprint_AMP/ATD_300x250_ATF_AMP,300x250,213,0.09
2023-02-05,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_320x50_GENERAL,320x50,6,0.00
2023-02-05,Web,thewire.in,22631205490/ATD_TheWire/ATD_320x50_FTR_RHS,320x50,272,0.26
2023-02-05,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_300x250_P3,300x250,"1,126",0.62
2023-02-05,AMP,freepressjournal.in,/102417597/ATD_Freepressjournal_AMP/ATD_320x50_STICKY_FOOTER,360x50,19,0.02
2023-02-05,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR_New,336x280,176,0.10
2023-02-05,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_160x600_GENERAL,160x600,405,0.30
2023-02-05,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_AXT,300x250,"1,248",0.90
2023-02-05,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_300x250_EOA_AMP,300x250,"1,751",1.19
2023-02-05,Web,tellychakkar.com,152781180/ATD_Tellychakkar/ATD_300x250_CP_ABP_M,300x250,37,0.06
2023-02-05,Web,theprint.in,21801000562/ATD_ThePrint/ATD_300x250_INR4_AP,336x280,59,0.02
2023-02-06,Web,chartink.com,21824144874/ATD_Chartink/ATD_728x90_HP,728x90,372,0.20
2023-02-06,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_970x250_GENERAL,970x250,495,0.33
2023-02-06,AMP,theprint.in,/21801000562/ATD_ThePrint_AMP/ATD_320x50_Footer,320x50,"3,498",2.76
2023-02-06,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_300x250_MS,300x250,"2,097",1.27
2023-02-06,Web,chartink.com,21824144874/ATD_Chartink/ATD_160x600_AXT,160x600,171,0.22
2023-02-06,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_320x100_GENERAL,320x50,"2,077",1.25
2023-02-06,Web,keralakaumudi.com,1027999/ATD_Keralakaumudi/ATD_970x90_GENERAL,728x90,798,0.54
2023-02-06,Web,thewire.in,22631205490/ATD_TheWire/ATD_300x250_M_HP_INR1,336x280,31,0.01
2023-02-06,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x600_INR2,300x250,328,0.26
2023-02-06,AMP,thewire.in,/22631205490/ATD_TheWire_AMP/ATD_300x250_INR4,336x280,424,0.18
2023-02-06,AMP,theprint.in,/21801000562/ATD_hindi.theprint_AMP/ATD_320x50_Tp_AMP,320x50,56,0.02
